"","geo","time","values"
"2712","LU",2002-04-01,5754.3
"2713","LV",2002-04-01,2376.6
"2714","MK",2002-04-01,861.3
"2715","MT",2002-04-01,1062.1
"2716","NL",2002-04-01,113025
"2717","NO",2002-04-01,45956.4
"2718","PL",2002-04-01,46420.4
"2719","PT",2002-04-01,31535.4
"2720","RO",2002-04-01,10362.2
"2721","RS",2002-04-01,3471.8
"2722","SE",2002-04-01,64108.1
"2723","SI",2002-04-01,5548.8
"2724","SK",2002-04-01,5905.6
"2725","TR",2002-04-01,56559.5
"2726","UK",2002-04-01,415553.8
"2727","AT",2002-01-01,48404.8
"2728","BE",2002-01-01,59844
"2729","BG",2002-01-01,3238.1
"2730","CH",2002-01-01,75341.4
"2731","CY",2002-01-01,2568.3
"2732","CZ",2002-01-01,17731.3
"2733","DE",2002-01-01,481395
"2734","DK",2002-01-01,38946.8
"2735","EA",2002-01-01,1626781.3
"2736","EA12",2002-01-01,1626781.3
"2737","EA19",2002-01-01,1647490.3
"2738","EE",2002-01-01,1553.5
"2739","EL",2002-01-01,33039.6
"2740","ES",2002-01-01,158891
"2741","EU15",2002-01-01,2152622.1
"2742","EU27_2019",2002-01-01,1841721.8
"2743","EU28",2002-01-01,2268981.2
"2744","FI",2002-01-01,30718
"2745","FR",2002-01-01,353406
"2746","HR",2002-01-01,5439.4
"2747","HU",2002-01-01,14151
"2748","IE",2002-01-01,28898.9
"2749","IT",2002-01-01,286634.6
"2750","LT",2002-01-01,2940.3
"2751","LU",2002-01-01,5547.9
"2752","LV",2002-01-01,2071.6
"2753","MK",2002-01-01,822.6
"2754","MT",2002-01-01,996
"2755","NL",2002-01-01,109623
"2756","NO",2002-01-01,42603.4
"2757","PL",2002-01-01,46436.9
"2758","PT",2002-01-01,30054.8
"2759","RO",2002-01-01,8711.7
"2760","RS",2002-01-01,3154.2
"2761","SE",2002-01-01,59648.8
"2762","SI",2002-01-01,5127.1
"2763","SK",2002-01-01,5454.4
"2764","TR",2002-01-01,51370
"2765","UK",2002-01-01,427352.7
"2766","AT",2001-10-01,51159.8
"2767","BE",2001-10-01,61911
"2768","BG",2001-10-01,3928.6
"2769","CH",2001-10-01,76816.6
"2770","CY",2001-10-01,2699.9
"2771","CZ",2001-10-01,18962.5
"2772","DE",2001-10-01,509216
"2773","DK",2001-10-01,41549.7
"2774","EA",2001-10-01,1712617.6
"2775","EA12",2001-10-01,1712617.6
"2776","EA19",2001-10-01,1734354.8
"2777","EE",2001-10-01,1664.6
"2778","EL",2001-10-01,35932.4
"2779","ES",2001-10-01,170970
"2780","EU15",2001-10-01,2233401
"2781","EU27_2019",2001-10-01,1943921.3
"2782","EU28",2001-10-01,2362453.1
"2783","FI",2001-10-01,33149
"2784","FR",2001-10-01,356729
"2785","HR",2001-10-01,5365.1
"2786","HU",2001-10-01,14383.4
"2787","IE",2001-10-01,27767.2
"2788","IT",2001-10-01,317036.6
"2789","LT",2001-10-01,3198.4
"2790","LU",2001-10-01,5771.5
"2791","LV",2001-10-01,2314.5
"2792","MK",2001-10-01,929.1
"2793","MT",2001-10-01,994.7
"2794","NL",2001-10-01,110777
"2795","NO",2001-10-01,43610.4
"2796","PL",2001-10-01,52898.1
"2797","PT",2001-10-01,31390.2
"2798","RO",2001-10-01,11841.1
"2799","SE",2001-10-01,60723.6
"2800","SI",2001-10-01,5287.6
"2801","SK",2001-10-01,5562.9
"2802","TR",2001-10-01,47124.7
"2803","UK",2001-10-01,418624.6
"2804","AT",2001-07-01,49402.2
