"","nace_r2","geo","time","values"
"254","Manufacturing","Italy",2017-10-01,59510.4
"255","Manufacturing","Lithuania",2017-10-01,1547.3
"256","Manufacturing","Luxembourg",2017-10-01,546.8
"257","Manufacturing","Latvia",2017-10-01,436.8
"258","Construction","Switzerland",2017-10-01,4771.7
"259","Construction","Cyprus",2017-10-01,246
"260","Construction","Czechia",2017-10-01,1911.6
"261","Construction","Finland",2017-10-01,2523.9
"262","Construction","France",2017-10-01,19756.8
"263","Construction","Italy",2017-10-01,14353.7
"264","Construction","Lithuania",2017-10-01,523.5
"265","Construction","Luxembourg",2017-10-01,502.2
"266","Construction","Latvia",2017-10-01,246.1
"267","Wholesale and retail trade, transport, accomodation and food service activities","Switzerland",2017-10-01,22201.7
"268","Wholesale and retail trade, transport, accomodation and food service activities","Cyprus",2017-10-01,974.6
"269","Wholesale and retail trade, transport, accomodation and food service activities","Czechia",2017-10-01,6649.5
"270","Wholesale and retail trade, transport, accomodation and food service activities","Finland",2017-10-01,7053.8
"271","Wholesale and retail trade, transport, accomodation and food service activities","France",2017-10-01,84257.7
"272","Wholesale and retail trade, transport, accomodation and food service activities","Italy",2017-10-01,69870.5
"273","Wholesale and retail trade, transport, accomodation and food service activities","Lithuania",2017-10-01,2180.3
"274","Wholesale and retail trade, transport, accomodation and food service activities","Luxembourg",2017-10-01,1558.9
"275","Wholesale and retail trade, transport, accomodation and food service activities","Latvia",2017-10-01,1197.2
"276","Information and communication","Switzerland",2017-10-01,4178.8
"277","Information and communication","Cyprus",2017-10-01,183.7
"278","Information and communication","Czechia",2017-10-01,2342.4
"279","Information and communication","Finland",2017-10-01,3013.8
"280","Information and communication","France",2017-10-01,34674.4
"281","Information and communication","Italy",2017-10-01,18828.2
"282","Information and communication","Lithuania",2017-10-01,357.3
"283","Information and communication","Luxembourg",2017-10-01,693.2
"284","Information and communication","Latvia",2017-10-01,189.1
"285","Financial and insurance activities","Switzerland",2017-10-01,11286.7
"286","Financial and insurance activities","Cyprus",2017-10-01,340.6
"287","Financial and insurance activities","Czechia",2017-10-01,1696.7
"288","Financial and insurance activities","Finland",2017-10-01,987.1
"289","Financial and insurance activities","France",2017-10-01,17975.9
"290","Financial and insurance activities","Italy",2017-10-01,20844.7
"291","Financial and insurance activities","Lithuania",2017-10-01,149
"292","Financial and insurance activities","Luxembourg",2017-10-01,2248.2
"293","Financial and insurance activities","Latvia",2017-10-01,202
"294","Real estate activities","Switzerland",2017-10-01,5773.5
"295","Real estate activities","Cyprus",2017-10-01,376
"296","Real estate activities","Czechia",2017-10-01,2500.1
"297","Real estate activities","Finland",2017-10-01,4255.9
"298","Real estate activities","France",2017-10-01,55922.8
"299","Real estate activities","Italy",2017-10-01,42029.6
