,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,2019
,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь
        Чеченская Республика*,2503,2232,4735,2402,7137,2144,9281,2162,11443,1827,13270,3286,16556,2862,19418,2619,22037,2868,24905,2557,27462,2428,29890,2752,2257,5009,2159,7168,2118,9286,2319,11605,2115,13720,2830,16550,2601,19151,3008,22159,2116,24275,2430,26705,2522,29227,2472
        Ставропольский край,2648,2432,5080,2861,7941,2278,10219,2549,12768,2580,15348,2744,18092,3132,21224,2824,24048,2971,27019,2677,29696,2764,32460,2608,2272,4880,2509,7389,2207,9596,2422,12018,2601,14619,2658,17277,3111,20388,2581,22969,2591,25560,1976,27536,1859,29395,1841
        Республика Башкортостан,3991,3764,7755,4385,12140,3743,15883,4217,20100,3955,24055,4200,28255,4678,32933,4003,36936,4220,41156,4057,45213,4047,49260,4125,3585,7710,3881,11591,3676,15267,4074,19341,3821,23162,4403,27565,4184,31749,3811,35560,4202,39762,3529,43291,3758,47049,3615
        Республика Марий Эл,655,616,1271,723,1994,623,2617,711,3328,719,4047,733,4780,791,5571,649,6220,721,6941,627,7568,579,8147,673,547,1220,594,1814,593,2407,649,3056,580,3636,727,4363,681,5044,556,5600,719,6319,594,6913,522,7435,508
        Республика Мордовия,589,485,1074,616,1690,479,2169,535,2704,657,3361,610,3971,662,4633,565,5198,586,5784,567,6351,533,6884,538,530,1068,592,1660,496,2156,572,2728,589,3317,622,3939,671,4610,474,5084,505,5589,504,6093,539,6632,535
        Республика Татарстан (Татарстан),3674,3553,7227,4413,11640,3636,15276,4005,19281,4196,23477,4145,27622,4380,32002,4231,36233,4094,40327,3971,44298,3817,48115,3868,3340,7208,3857,11065,3719,14784,3964,18748,4021,22769,4156,26925,4269,31194,3800,34994,3930,38924,3724,42648,3672,46320,3457
        Удмуртская Республика,1548,1396,2944,1610,4554,1350,5904,1558,7462,1511,8973,1499,10472,1717,12189,1430,13619,1528,15147,1430,16577,1377,17954,1424,1293,2717,1412,4129,1378,5507,1430,6937,1354,8291,1505,9796,1422,11218,1328,12546,1460,14006,1316,15322,1125,16447,1243
        Чувашская Республика - Чувашия,1113,1075,2188,1213,3401,1021,4422,1122,5544,1238,6782,1276,8058,1323,9381,1139,10520,1227,11747,1109,12856,1091,13947,1063,998,2061,1095,3156,1023,4179,1107,5286,1106,6392,1212,7604,1249,8853,1062,9915,1197,11112,1018,12130,906,13036,989
        Пермский край,2640,2432,5072,2840,7912,2413,10325,2752,13077,2764,15841,2930,18771,3031,21802,2610,24412,2755,27167,2435,29602,2402,32004,2501,2262,4763,2542,7305,2416,9721,2558,12279,2407,14686,2686,17372,2703,20075,2257,22332,2587,24919,2251,27170,2172,29342,2214
        Кировская область,1135,979,2114,1228,3342,1045,4387,1120,5507,1187,6694,1209,7903,1299,9202,1198,10400,1273,11673,1031,12704,1063,13767,1040,1021,2061,1040,3101,1037,4138,1090,5228,1016,6244,1231,7475,1113,8588,1050,9638,1162,10800,876,11676,977,12653,928
