,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
1982-01-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1982-04-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1982-07-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1982-10-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1983-01-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1983-04-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1983-07-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1983-10-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1984-01-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1984-04-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1984-07-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1984-10-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1985-01-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1985-04-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1985-07-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
